legacyId,legacyName,legacyDescription,legacyTotalQuestions,legacyStatus,legacyCreatedAt,topLevelTagCount,topLevelTagNames,suggestedExam,suggestedExamCycle,suggestedSubject,suggestedTopic,mappingStatus,adminDecision,notes
31,BPSC 69th,(none — questionbanks has no description column in the legacy schema),799,0,2023-07-17 17:18:25,9,BPSC 69th full test -1 | BPSC 69th full Pt Test -2 | BPSC 69th Full Test-3 | BPSC 69th Full Test-4 | BPSC 69th Test -6 | BPSC 69th Test-8 | BPSC 69th 11 | BPSC 69th 12,BPSC,69th,,BPSC 69th full test -1 | BPSC 69th full Pt Test -2 | BPSC 69th Full Test-3 | BPSC 69th Full Test-4 | BPSC 69th Test -6,PENDING_ADMIN_REVIEW,,
32,Bihar Police 2023,(none — questionbanks has no description column in the legacy schema),1392,0,2023-07-23 19:39:30,21,Bihar Police-1 | Bihar Police-2 | Bihar Police-3 | Bihar Police -4 | Bihar Police-5 | Bihar Police-6 | Bihar Police-7 | Bihar Police-8,Bihar Police,2023,,Bihar Police-1 | Bihar Police-2 | Bihar Police-3 | Bihar Police -4 | Bihar Police-5,PENDING_ADMIN_REVIEW,,
33,Bihar Current January 2022,(none — questionbanks has no description column in the legacy schema),26,0,2023-08-22 17:30:09,1,Bihar Current Special Test-1,,2022,Current,Bihar Current Special Test-1,PENDING_ADMIN_REVIEW,,
34,Up special,(none — questionbanks has no description column in the legacy schema),151,1,2023-09-13 14:58:17,6,Set 1 | Set 2 | Set 3 | Set 4 | Set 5 | Set 6,,,,Set 1 | Set 2 | Set 3 | Set 4 | Set 5,PENDING_ADMIN_REVIEW,,
35,Jharkhand GS,(none — questionbanks has no description column in the legacy schema),209,1,2023-09-15 23:25:35,9,Set 1 | Set 2 | Set 3 | Set 4 | Set 5 | Set 6 | Set 7 | Set 8,Jharkhand,,GS,Set 1 | Set 2 | Set 3 | Set 4 | Set 5,PENDING_ADMIN_REVIEW,,
36,NCERT Basic test,(none — questionbanks has no description column in the legacy schema),20,0,2023-09-19 23:02:47,1,Test-1,,,NCERT,Test-1,PENDING_ADMIN_REVIEW,,
37,GS Test(Subject wise),(none — questionbanks has no description column in the legacy schema),1053,1,2023-10-09 12:50:13,24,"Test -1, Science, Priyanka maam | Test -2, History, Chandrashiv Sir | Test -3, Science, Priyanka maam | Test -4, History, Chandrashiv Sir | Test -5, History, Chandrashiv Sir | Test -6, History, Chandrashiv Sir | Test -7, History, By Chandrashiv Sir | Test -8, History ,By Chandrashiv Sir",,,GS,"Test -1, Science, Priyanka maam | Test -2, History, Chandrashiv Sir | Test -3, Science, Priyanka maam | Test -4, History, Chandrashiv Sir | Test -5, History, Chandrashiv Sir",PENDING_ADMIN_REVIEW,,
38,GS Questions bank -2,(none — questionbanks has no description column in the legacy schema),575,1,2024-01-05 10:30:20,25,Test -1 history | Test -2 history | Test -3 history | Test -4 history | Test -5 history | Test -6 history | Test -7 history | Test -8 history,,,GS,Test -1 history | Test -2 history | Test -3 history | Test -4 history | Test -5 history,PENDING_ADMIN_REVIEW,,
39,Current 2023,(none — questionbanks has no description column in the legacy schema),0,0,2024-01-10 18:47:05,0,,,2023,Current,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
40,Current 2023,(none — questionbanks has no description column in the legacy schema),50,0,2024-01-10 18:48:46,1,January,,2023,Current,January,PENDING_ADMIN_REVIEW,,
41,BPSC 70th,(none — questionbanks has no description column in the legacy schema),2793,0,2024-03-08 20:49:53,35,70th Full Test-1 | Test-2 | Test-3 | Test- 4 | Test- 6 | Test-5 | Test-8 | Test- 9,BPSC,70th,,70th Full Test-1 | Test-2 | Test-3 | Test- 4 | Test- 6,PENDING_ADMIN_REVIEW,,
42,Bihar Special GS,(none — questionbanks has no description column in the legacy schema),375,1,2024-07-11 11:04:17,15,Bihar Special GS-25 | Bihar Special GS-24 | Bihar Special GS-23 | Bihar Special GS-22 | Bihar Special GS-21 | Bihar Special GS-20 | Bihar Special GS-19 | Bihar Special GS-18,,,GS,Bihar Special GS-25 | Bihar Special GS-24 | Bihar Special GS-23 | Bihar Special GS-22 | Bihar Special GS-21,PENDING_ADMIN_REVIEW,,
43,BPSC Previous Year (English),(none — questionbanks has no description column in the legacy schema),465,1,2024-08-12 10:33:19,19,BPSC Previous Year (English)-1 | BPSC Previous Year (English)-2 | BPSC Previous Year (English)-3 | BPSC Previous Year (English)-4 | BPSC Previous Year (English)-5 | BPSC Previous Year (English)-6 | BPSC Previous Year (English)-7 | BPSC Previous Year (English)-8,BPSC,,,BPSC Previous Year (English)-1 | BPSC Previous Year (English)-2 | BPSC Previous Year (English)-3 | BPSC Previous Year (English)-4 | BPSC Previous Year (English)-5,PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
44,"Science (English), BPSC Previous Year",(none — questionbanks has no description column in the legacy schema),348,1,2024-08-17 12:22:28,14,BPSC Previous Year  Science (English)-1 | BPSC Previous Year Science (English)-2 | BPSC Previous Year Science (English)-3 | BPSC Previous Year Science (English)-4 | BPSC Previous Year Science (English)-5 | BPSC Previous Year Science (English)-6 | BPSC Previous Year Science (English)-7 | BPSC Previous Year Science (English)-8,BPSC,,Science,BPSC Previous Year  Science (English)-1 | BPSC Previous Year Science (English)-2 | BPSC Previous Year Science (English)-3 | BPSC Previous Year Science (English)-4 | BPSC Previous Year Science (English)-5,PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
45,UPSC Test,(none — questionbanks has no description column in the legacy schema),839,1,2025-01-24 22:36:31,23,Upsc test-1 eng | UPSC Test-2 eng | UPSC Test -3 eng | UPSC Test-4 eng | UPSC Test-5 eng | UPSC Test-6 eng | UPSC Test-7 eng | UPSC Test-1 Hindi,UPSC,,,Upsc test-1 eng | UPSC Test-2 eng | UPSC Test -3 eng | UPSC Test-4 eng | UPSC Test-5 eng,PENDING_ADMIN_REVIEW,,
46,NCERT,(none — questionbanks has no description column in the legacy schema),24,0,2025-04-25 22:25:40,1,Demo Science-1,,,NCERT,Demo Science-1,PENDING_ADMIN_REVIEW,,
47,NCERT 40-40 series,(none — questionbanks has no description column in the legacy schema),668,1,2025-05-17 10:25:54,14,Test-2 (Hindi) | Test-3 (Hindi) | Test-4 (Hindi) | Test-5 (Hindi) | Test-6 (Hindi) | Test-7 (Hindi) | Test-1 (Hindi) | Test-2 (Eng),,,NCERT,Test-2 (Hindi) | Test-3 (Hindi) | Test-4 (Hindi) | Test-5 (Hindi) | Test-6 (Hindi),PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
48,BPSC 71th,(none — questionbanks has no description column in the legacy schema),8848,1,2025-06-22 22:21:46,82,Test 1 (Eng) | Test 1 (Hindi) | Test 2 (Eng) | Test 2 (Hindi) | Test 3 (Eng) | Test 3 (Hindi) | Test 4(Eng) | Test 4(Hindi),BPSC,71th,,Test 1 (Eng) | Test 1 (Hindi) | Test 2 (Eng) | Test 2 (Hindi) | Test 3 (Eng),PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
49,Current MCQ 2025,(none — questionbanks has no description column in the legacy schema),800,1,2025-07-09 21:26:10,13,January 2025 (Hindi) | January 2025 (English) | Feb 2025 (Hindi) | February 2025 Hindi | February 2025 English | March 2025 Hindi | March 2025 English | April 2025 Hindi,,2025,Current,January 2025 (Hindi) | January 2025 (English) | Feb 2025 (Hindi) | February 2025 Hindi | February 2025 English,PENDING_ADMIN_REVIEW,,
50,Bihar SI 2025(Guru),(none — questionbanks has no description column in the legacy schema),2670,1,2025-08-03 14:04:22,27,Set -1 | Set- 5 | Set -2 | Set -3 | Set -4 | Set -6 | Set 7 | Set 8,Bihar SI,2025,,Set -1 | Set- 5 | Set -2 | Set -3 | Set -4,PENDING_ADMIN_REVIEW,,
51,bihar SI 2025 (Guru),(none — questionbanks has no description column in the legacy schema),0,0,2025-08-03 17:41:21,0,,Bihar SI,2025,,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
52,Bihar SI 2025 (Guru),(none — questionbanks has no description column in the legacy schema),0,0,2025-08-03 17:46:00,0,,Bihar SI,2025,,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
53,"Bihar SI Mega Test,Volume-2",(none — questionbanks has no description column in the legacy schema),80,0,2025-08-14 12:49:03,2,Test-1(polity) | Test-1(polity) Eng,Bihar SI,,,Test-1(polity) | Test-1(polity) Eng,PENDING_ADMIN_REVIEW,,
54,BPSC 72-1(Hindi),(none — questionbanks has no description column in the legacy schema),982,1,2025-08-22 12:14:28,9,Set-1(hindi) | Set -2 (hindi) | Set -3(Hindi) | set-4 (Hindi) | Set 5 (Hindi) | BPSC 72 Test -1(English) | BPSC 72 Test -2(English) | BPSC 72 Test -4 (English),BPSC,,,Set-1(hindi) | Set -2 (hindi) | Set -3(Hindi) | set-4 (Hindi) | Set 5 (Hindi),PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
55,BPSC AEDO,(none — questionbanks has no description column in the legacy schema),2212,1,2025-10-10 14:07:46,24,Test - 1 (Hindi) | Test - 1 (Eng) | Test - 2 (Eng) | Test - 3 (Hindi) | Test - 2 (Hindi) | Test - 3(English) | Test - 4 (Hindi) | Test - 5 (Hindi),BPSC,,,Test - 1 (Hindi) | Test - 1 (Eng) | Test - 2 (Eng) | Test - 3 (Hindi) | Test - 2 (Hindi),PENDING_ADMIN_REVIEW,,"Top-level tags here look like per-test-paper language splits (e.g. ""Test 1 (Eng)""/""Test 1 (Hindi)""), not Subject names — the Subject/Topic suggestion columns are likely NOT usable for this bank and need a different mapping approach (per-question tagging instead of per-tag)."
